2025-04-27 20:51:59 [main] INFO  preprocess.PreprocessMapper - 2429135
2025-04-27 20:52:15 [main] INFO  preprocess.PreprocessMapper - Stieg Larsson, Reg Keeland
2025-04-27 20:52:22 [main] INFO  preprocess.PreprocessMapper - 2429135
2025-04-27 20:52:28 [main] INFO  preprocess.PreprocessMapper - Stieg Larsson, Reg Keeland
2025-04-27 20:53:12 [main] INFO  preprocess.PreprocessMapper - Stieg Larsson, Reg Keeland
2025-04-27 21:16:24 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",2005.0,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:18:44 [main] INFO  preprocess.PreprocessMapper - 2005.0
2025-04-27 21:18:44 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",2005.0,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:22:55 [main] INFO  preprocess.PreprocessMapper - 2005.0
2025-04-27 21:22:55 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",2000s,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:23:32 [main] INFO  preprocess.PreprocessMapper - 1986
2025-04-27 21:23:32 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",1980s,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:41:04 [main] INFO  preprocess.PreprocessMapper - 1986
2025-04-27 21:41:04 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",1980s,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:41:18 [main] INFO  preprocess.PreprocessMapper - 1986
2025-04-27 21:41:18 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",1980s,The Girl with the Dragon Tattoo (Millennium, #1)
2025-04-27 21:41:40 [main] INFO  preprocess.PreprocessMapper - 1986
2025-04-27 21:41:40 [main] INFO  preprocess.PreprocessMapper - 16,2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",1980s,The Girl with the Dragon Tattoo (Millennium, #1)
